Time,Value
0.000000, 99.566391
0.000061, 98.069778
0.000122, 95.445389
0.000183, 98.902473
0.000244, 96.398796
0.000305, 97.758705
0.000366, 101.746185
0.000427, 95.441246
0.000488, 99.829918
0.000549, 97.841469
0.000610, 103.092628
0.000671, 99.485252
0.000732, 99.776451
0.000793, 99.040291
0.000854, 99.485252
0.000916, 98.691612
0.000977, 99.040291
0.001038, 98.691612
0.001099, 97.323555
0.001160, 97.638786
0.001221, 98.691612
0.001282, 95.151947
0.001343, 94.301224
0.001404, 100.252113
0.001465, 98.973679
0.001526, 92.797714
0.001587, 95.162750
0.001648, 94.493233
0.001709, 94.056740
0.001770, 95.162750
0.001831, 95.514191
0.001892, 94.897408
0.001953, 96.681839
0.002014, 99.500351
0.002075, 97.616409
0.002136, 97.979385
0.002197, 100.483017
0.002258, 99.408249
0.002319, 97.616409
0.002380, 96.738541
0.002441, 94.789131
0.002502, 99.344772
0.002563, 96.583725
0.002625, 97.526047
0.002686, 96.583725
0.002747, 96.583725
0.002808, 95.203400
0.002869, 97.226791
0.002930, 93.389229
0.002991, 97.717690
0.003052, 95.236084
0.003113, 94.082283
0.003174, 92.969833
0.003235, 93.973389
0.003296, 95.549606
0.003357, 94.253113
0.003418, 92.846336
0.003479, 92.214485
0.003540, 92.955925
0.003601, 92.966446
0.003662, 92.955925
0.003723, 92.966446
0.003784, 95.894974
0.003845, 91.205040
0.003906, 91.475403
0.003967, 94.300697
0.004028, 96.501152
0.004089, 95.745773
0.004150, 95.913574
0.004211, 94.676422
0.004272, 93.118225
0.004333, 97.168587
0.004395, 97.529144
0.004456, 92.880615
0.004517, 92.217453
0.004578, 89.295372
0.004639, 90.484917
0.004700, 91.778580
0.004761, 90.859383
0.004822, 92.518349
0.004883, 91.778580
0.004944, 91.225693
0.005005, 94.117348
0.005066, 95.913330
0.005127, 93.983368
0.005188, 95.223389
0.005249, 93.983368
0.005310, 93.983368
0.005371, 95.731934
0.005432, 96.155556
0.005493, 88.226982
0.005554, 93.983368
0.005615, 93.983368
0.005676, 93.983368
0.005737, 92.345459
0.005798, 91.689537
0.005859, 92.345459
0.005920, 92.191490
0.005981, 91.717331
0.006042, 92.309586
0.006104, 91.618637
0.006165, 90.527512
0.006226, 91.717331
0.006287, 91.717331
0.006348, 91.239548
0.006409, 93.082222
0.006470, 91.717331
0.006531, 92.644333
0.006592, 91.714058
0.006653, 91.717331
0.006714, 91.735245
0.006775, 91.714058
0.006836, 91.683426
0.006897, 91.683426
0.006958, 91.683426
0.007019, 91.683426
0.007080, 91.547745
0.007141, 91.547745
0.007202, 91.547745
0.007263, 91.205887
0.007324, 91.205887
0.007385, 91.205887
0.007446, 89.809967
0.007507, 91.205887
0.007568, 91.748863
0.007629, 92.142616
0.007690, 93.468910
0.007751, 90.197319
0.007812, 89.893768
0.007874, 89.893768
0.007935, 89.888939
0.007996, 89.584999
0.008057, 89.888939
0.008118, 88.996414
0.008179, 89.181969
0.008240, 90.188858
0.008301, 89.337128
0.008362, 86.053246
0.008423, 87.676643
0.008484, 91.218170
0.008545, 82.631729
0.008606, 84.514389
0.008667, 88.272247
0.008728, 84.089378
0.008789, 90.903854
0.008850, 88.361168
0.008911, 90.864342
0.008972, 89.629860
0.009033, 89.742943
0.009094, 88.594025
0.009155, 89.629860
